MDAI_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difficult Problems,,The number of correct selections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maximin,maximin,A,,,B,,,C,,,D,,,E,,,,Maximax,maximin,A,,,B,,,C,,,D,,,E,,
,,E-AMRww,557944,586976,613479,639143,645147,649910,558541,590239,621346,590497,618867,636154,603338,622564,636432,,,E-AMRww,517559,573843,645089,636468,664816,686434,529312,599998,659898,564920,631036,667185,579852,625069,670233
,n=6,EV,506953,565809,597786,524362,520162,540039,502078,551494,596095,515714,534244,575701,509887,539931,566177,,n=6,EV,457892,489247,539525,570205,545478,532074,472017,502528,538650,521793,524493,527909,495541,511279,528909
,,MMRw,769625,738303,715143,733615,764149,625959,775709,762705,676345,827171,793565,681305,751124,767395,710275,,,MMRw,709162,754035,783866,519870,673441,784132,629209,737779,808163,746246,792797,834414,608995,708613,797647
,,E-MMRww,690712,711443,676007,748119,722515,631265,724693,725666,660389,727386,732964,636964,719019,722940,661354,,,E-MMRww,559794,641760,720495,639664,712727,754566,560847,669384,745096,593532,700878,747083,591475,678310,737689
,,AMRw,706294,730820,741545,658238,637512,558029,680174,687140,676481,708588,692311,682240,679834,700868,702585,,,AMRw,682079,704026,731708,547852,629386,674136,613545,667065,708469,700516,704537,704882,624979,670349,712113
,,E-AMRww,646798,686262,675577,697659,679873,627379,668268,690836,661558,674943,687445,630535,671537,689554,662281,,,E-AMRww,535882,603784,677047,625547,670614,700958,535571,623484,692417,572309,651772,690975,573962,639162,690479
,n=7,EV,491757,550693,604923,520301,514457,544267,504377,539759,587952,509997,527792,573255,507457,526973,561165,,n=7,EV,451635,491177,545461,564821,526760,516762,492978,508193,542209,516940,515989,529481,501081,509559,521705
,,MMRw,840109,815606,727463,781115,833703,680450,813720,807746,679977,849551,831325,678397,807846,821429,705962,,,MMRw,728906,811747,854314,590832,754908,866865,650153,778839,846704,749601,823107,862956,662271,785856,865203
,,E-MMRww,721368,752603,670793,776891,755116,628382,743135,749075,650361,747988,756775,627728,755108,752428,644406,,,E-MMRww,558377,681219,769319,619606,731431,785907,572468,701501,768837,584383,719794,770176,585007,708425,778557
,,AMRw,745076,754286,740793,721252,692864,590222,734700,710667,665039,746504,717299,655787,736485,728168,688579,,,AMRw,684670,736634,772921,603730,697873,738822,643730,716125,755364,696397,736087,745173,647053,717908,758047
,,E-AMRww,672768,724368,692174,724998,713268,630340,691485,715960,667383,698358,718458,637489,704214,716704,654652,,,E-AMRww,535524,635621,729709,605012,682275,734442,553735,653727,728705,567005,668755,725641,567447,661089,730523
,n=8,EV,675263,764486,836443,712808,701280,766898,682353,739797,807505,703689,740055,823667,677324,735374,795974,,n=8,EV,795683,687017,716518,808734,744600,667102,767805,726305,709935,826581,720307,689507,744370,679249,679261
,,MMRw,840452,827508,821310,750063,801565,751492,782168,815033,777359,808204,822890,780920,789898,817400,798577,,,MMRw,767357,828340,838857,597742,679964,818239,638178,733383,828710,685181,775556,846477,635506,756954,831523
,,E-MMRww,801326,819033,777003,816682,794517,707683,799711,807809,751238,814679,813636,737929,800820,806870,736169,,,E-MMRww,765696,773002,809916,773807,799249,812720,757786,784905,814489,770273,795336,805238,728196,770281,806326
,,AMRw,816704,855448,859553,789674,767961,740062,783985,810192,813241,810300,819708,809230,796838,828101,816918,,,AMRw,801467,811132,846182,750262,771782,784578,734837,784625,825956,780378,807348,815341,731176,775893,815424
,,E-AMRww,774338,833368,843492,806979,795728,770886,775449,815535,815771,799081,824185,815934,782070,823777,814652,,,E-AMRww,773399,751042,805052,788634,795461,791572,758736,771574,804365,788342,780576,795895,739832,752559,796205
